"Levensverwachting; geslacht en leeftijd, 1861-2011 (perioden)";;
Onderwerpen,Levensverwachting,Levensverwachting
Leeftijd,0 jaar,0 jaar
Geslacht,Mannen,Vrouwen
Perioden,jaar,jaar
1861 tot 1866,36.46,38.24
1881 tot 1886,41.41,43.98
1901 tot 1906,49.35,52.21
1921 tot 1926,60.78,62.25
1941 tot 1946,59.70,65.11
1961 tot 1966,71.16,75.88
1981 tot 1986,72.87,79.51
2006 tot 2011,78.25,82.35
© Centraal Bureau voor de Statistiek, Den Haag/Heerlen 19-11-2018,,
