Country,Region,Pop. Density (per sq. mi.),Infant mortality (per 1000 births),GDP ($ per capita) dollars
Guinea-Bissau,SUB-SAHARAN AFRICA,"39,9","107,17",800 dollars

Guyana,LATIN AMER. & CARIB,"3,6","33,26",4000 dollars

Haiti,LATIN AMER. & CARIB,"299,4","73,45",1600 dollars

Honduras,LATIN AMER. & CARIB,"65,4","29,32",2600 dollars

Hong Kong,ASIA (EX. NEAR EAST),"6355,7","2,97",28800 dollars

Hungary,EASTERN EUROPE,"107,3","8,57",13900 dollars

Iceland,WESTERN EUROPE,unknown,"3,31",30900 dollars

India,ASIA (EX. NEAR EAST),"333,2","56,29",2900 dollars

Indonesia,ASIA (EX. NEAR EAST),"127,9","35,6",3200 dollars

Iran,ASIA (EX. NEAR EAST),"41,7","41,58",7000 dollars

Iraq,NEAR EAST,"61,3","50,25",1500 dollars

Ireland,WESTERN EUROPE,"57,8","5,39",29600 dollars

Isle of Man,WESTERN EUROPE,"131,9","5,93",21000 dollars

Israel,NEAR EAST,"305,8","7,03",19800 dollars

Italy,WESTERN EUROPE,"193,0","5,94",26700 dollars

Jamaica,LATIN AMER. & CARIB,"250,9","12,36",unknown

Japan,ASIA (EX. NEAR EAST),"337,4","3,26",28200 dollars

Jersey,WESTERN EUROPE,"785,2","5,24",24800 dollars

Jordan,NEAR EAST,"64,0","17,35",4300 dollars

Kazakhstan,C.W. OF IND. STATES,"5,6","29,21",6300 dollars

Kenya,SUB-SAHARAN AFRICA,"59,6","61,47",1000 dollars

Kiribati,OCEANIA,"130,0","48,52",800 dollars

"Korea, North",ASIA (EX. NEAR EAST),"191,8","24,04",1300 dollars

"Korea, South",ASIA (EX. NEAR EAST),"496,0","7,05",17800 dollars

Kuwait,NEAR EAST,"135,7","9,95",19000 dollars

Kyrgyzstan,C.W. OF IND. STATES,"26,3","35,64",1600 dollars

Laos,ASIA (EX. NEAR EAST),"26,9","85,22",unknown

Latvia,BALTICS,"35,2","9,55",10200 dollars

Lebanon,NEAR EAST,"372,5","24,52",4800 dollars

Lesotho,SUB-SAHARAN AFRICA,"66,6","84,23",3000 dollars

Liberia,SUB-SAHARAN AFRICA,"27,3","128,87",1000 dollars

Libya,NORTHERN AFRICA,"3,4","24,6",6400 dollars

Liechtenstein,WESTERN EUROPE,"212,4","4,7",25000 dollars
